DWZZJGDM,SJDWMC,DWXZMC,DWHYMC,GZZWLBMC,DWSZDDM
916101310515730361,三星（中国）半导体有限公司,外商投资企业,信息传输、软件和信息技术服务业,工程技术人员,陕西省西安市雁塔区
91310000703099764Y,上海华为技术有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他人员,上海市浦东新区
911201163004579939,飞腾信息技术有限公司,国有企业,信息传输、软件和信息技术服务业,工程技术人员,天津市滨海新区
91610131668683606U,西安华为技术有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他人员,陕西省西安市雁塔区
12100000451209890A,中国电子科技集团公司第九研究所,科研设计单位,科学研究和技术服务业,工程技术人员,四川省绵阳市涪城区
91610131MA6X0PBW8F,青岛信芯微电子科技股份有限公司西安分公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他专业技术人员,陕西省西安市雁塔区
12100000450720814K,西南电子设备研究所（中国电子科技集团公司第二十九研究所）,国有企业,信息传输、软件和信息技术服务业,科学研究人员,四川省成都市金牛区
915200007753445386,贵州振华风光半导体股份有限公司,国有企业,制造业,工程技术人员,贵州省贵阳市乌当区
91610131MA6TY2849H,北京时代民芯科技有限公司西安分公司,国有企业,科学研究和技术服务业,工程技术人员,陕西省西安市雁塔区
91440300MA5H6FAP31,深圳中安辰鸿技术有限公司,国有企业,信息传输、软件和信息技术服务业,工程技术人员,广东省深圳市南山区
91420000271756344P,安琪酵母股份有限公司,国有企业,制造业,科学研究人员,湖北省宜昌市伍家岗区
91610000435230446C,中国兵器工业集团第二一二研究所（西安机电信息技术研究所）,科研设计单位,科学研究和技术服务业,科学研究人员,陕西省西安市雁塔区
12100000426090234N,中国电子科技集团公司第五十五研究所,国有企业,制造业,科学研究人员,江苏省南京市市辖区
91310115MA1K4AKX3D,芯和半导体科技（上海）有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,上海市浦东新区
91320100716207592F,华为技术有限公司南京研究所,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他人员,江苏省南京市市辖区
91110108MA01BGGF6J,航天时代飞鸿技术有限公司,国有企业,科学研究和技术服务业,科学研究人员,北京市海淀区
12100000466285116Y,中国航发控制系统研究所,科研设计单位,科学研究和技术服务业,科学研究人员,江苏省无锡市滨湖区
9132010068670030XU,南京中兴新软件有限责任公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他专业技术人员,江苏省南京市雨花台区
9150000020286320X6,重庆长安汽车股份有限公司,国有企业,制造业,工程技术人员,重庆市江北区
9142010058487806XJ,湖北九同方微电子有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他专业技术人员,湖北省武汉市江夏区
91310000751866155L,德州仪器半导体技术（上海）有限公司,外商投资企业,科学研究和技术服务业,其他人员,上海市浦东新区
91310000069354472F,上海兴工微电子有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他专业技术人员,上海市普陀区
91440400666520715X,珠海全志科技股份有限公司,其他企业（含民营企业等）,科学研究和技术服务业,工程技术人员,陕西省西安市雁塔区
91110108797556902W,圣邦微电子（北京）股份有限公司,其他企业（含民营企业等）,制造业,其他专业技术人员,北京市海淀区
52610103668688626H,西安铁一中教育集团,中初教育单位,教育,教学人员,陕西省西安市碑林区
913100005821193690,拉扎斯网络科技（上海）有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他专业技术人员,上海市普陀区
91430000722592271H,三一集团有限公司,其他企业（含民营企业等）,制造业,工程技术人员,湖南省宁乡市
915101006630031225,成都华为技术有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他人员,四川省成都市市辖区
914403001922038216,华为技术有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他人员,广东省深圳市市辖区
91610131081000925D,西安博瑞集信电子科技有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,陕西省西安市雁塔区
9161070022282016X5,镇巴县烟草专卖局,其他事业单位,租赁和商务服务业,办事人员和有关人员,陕西省镇巴县
91610131693848521A,西安星网天线技术有限公司,其他企业（含民营企业等）,制造业,其他人员,陕西省西安市长安区
91330000733796106P,杭州海康威视数字技术股份有限公司,其他（含社会组织、国际组织等）,信息传输、软件和信息技术服务业,其他人员,浙江省杭州市滨江区
91440300342470600P,影石创新科技股份有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,广东省深圳市宝安区
121000004352307962,中国航空工业集团公司西安航空计算技术研究所,科研设计单位,科学研究和技术服务业,科学研究人员,陕西省西安市雁塔区
91610132MA6U1FQFX4,广联达西安科技有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,陕西省西安市未央区
916100002942059830,中航西安飞机工业集团股份有限公司,国有企业,制造业,工程技术人员,陕西省西安市阎良区
913100007878796873,超威半导体（上海）有限公司,外商投资企业,信息传输、软件和信息技术服务业,工程技术人员,上海市浦东新区
914400006713807961,中国电信股份有限公司广东分公司,国有企业,信息传输、软件和信息技术服务业,工程技术人员,广东省广州市天河区
12100000717809966X,中国航空工业集团公司洛阳电光设备研究所,科研设计单位,科学研究和技术服务业,工程技术人员,河南省洛阳市洛龙区
91110105MA009PJM56,上海蔚来汽车有限公司北京分公司,外商投资企业,科学研究和技术服务业,工程技术人员,北京市朝阳区
91610131MAB104T54X,西安奕斯伟集成电路有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,陕西省西安市长安区
91611104MABMAMRL50,中国农业发展银行金融科技中心,国有企业,金融业,其他专业技术人员,陕西省西安市市辖区
9144030071526726XG,腾讯科技（深圳）有限公司,外商投资企业,信息传输、软件和信息技术服务业,其他专业技术人员,广东省深圳市南山区
91610131783581752R,西安紫光国芯半导体有限公司,国有企业,信息传输、软件和信息技术服务业,工程技术人员,陕西省西安市雁塔区
1210000049350541XL,山东航天电子技术研究所,科研设计单位,科学研究和技术服务业,工程技术人员,山东省烟台市市辖区
91340000762794062H,芜湖伯特利汽车安全系统股份有限公司,外商投资企业,制造业,工程技术人员,安徽省芜湖市鸠江区
913205056725028046,华硕科技（苏州）有限公司,外商投资企业,科学研究和技术服务业,工程技术人员,江苏省苏州市虎丘区
91320115724588823N,南京科瑞达电子装备有限责任公司,国有企业,制造业,工程技术人员,江苏省南京市江宁区
91350200751606687H,安费诺电子装配（厦门）有限公司,外商投资企业,制造业,工程技术人员,福建省厦门市思明区
91611105MA6TWLTU6G,陕西今日头条信息科技有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,陕西省西安市市辖区
911101080673385595,北京嘀嘀无限科技发展有限公司,外商投资企业,信息传输、软件和信息技术服务业,工程技术人员,北京市海淀区
91610000920520236P,中国银行股份有限公司陕西省分行,国有企业,金融业,工程技术人员,陕西省西安市莲湖区
913700001630477270,浪潮集团有限公司,国有企业,信息传输、软件和信息技术服务业,工程技术人员,山东省济南市历下区
12100000H0420141X7,中国航天科技集团有限公司第九研究院第七七一研究所,科研设计单位,科学研究和技术服务业,工程技术人员,陕西省西安市雁塔区
12440000MB2D23849R,广东大湾区空天信息研究院,科研设计单位,科学研究和技术服务业,科学研究人员,广东省广州市黄埔区
91330100563015652A,浙江天猫技术有限公司,外商投资企业,信息传输、软件和信息技术服务业,工程技术人员,浙江省杭州市余杭区
91610131MA7N6Q6K6D,上海科之锐人才咨询有限公司西安分公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他人员,陕西省西安市雁塔区
91110117MA017C682B,北京有竹居网络技术有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,110108
91110000700049024C,广联达科技股份有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,北京市海淀区
91430100MA4QWBJ977,长沙星融元数据技术有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他人员,湖南省长沙市岳麓区
9144030027939873X7,中兴通讯股份有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,广东省深圳市南山区
913101145852521733,上海东方财富金融数据服务有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他专业技术人员,上海市徐汇区
91320102053279295F,南京矽力微电子技术有限公司,外商投资企业,信息传输、软件和信息技术服务业,其他专业技术人员,江苏省南京市玄武区
12100000401749530L,中国电子科技集团公司第五十四研究所,科研设计单位,科学研究和技术服务业,科学研究人员,河北省石家庄市桥西区
9161010076698682X0,西安晟昕科技发展有限公司,其他企业（含民营企业等）,制造业,其他专业技术人员,陕西省西安市雁塔区
91440300793892618P,深圳市有方科技股份有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,广东省深圳市龙华区
11654301458398460M,阿勒泰教育局,其他事业单位,公共管理、社会保障和社会组织,办事人员和有关人员,新疆阿勒泰市
91310000MA1GW5YM84,睹煜（上海）信息服务有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他人员,上海市嘉定区
916101132206335558,电信科学技术第十研究所有限公司,国有企业,信息传输、软件和信息技术服务业,其他专业技术人员,陕西省西安市雁塔区
121000004165261530,中国空空导弹研究院,科研设计单位,科学研究和技术服务业,工程技术人员,河南省洛阳市西工区
9161000078365435XM,陕西凌云电器集团有限公司,国有企业,制造业,科学研究人员,陕西省宝鸡市渭滨区
91320192134899023E,南京长江电子信息产业集团有限公司,国有企业,制造业,工程技术人员,江苏省南京市栖霞区
91610000671504701D,中国电信股份有限公司陕西分公司,国有企业,信息传输、软件和信息技术服务业,其他专业技术人员,陕西省西安市新城区
911100007693505528,爱立信（中国）通信有限公司,外商投资企业,信息传输、软件和信息技术服务业,其他专业技术人员,北京市朝阳区
91330200711192037M,宁波银行股份有限公司,其他企业（含民营企业等）,金融业,金融业务人员,浙江省宁波市鄞州区
114201120108834253,武汉市东西湖区教育局,机关,教育,教学人员,湖北省武汉市东西湖区
9161000011315230XJ,中铁十五局集团第一工程有限公司,国有企业,建筑业,金融业务人员,陕西省西安市未央区
913202146079228459,海尔曼太通（无锡）电器配件有限公司,外商投资企业,制造业,经济业务人员,江苏省无锡市新吴区
9161011529452049X5,陕西鼓风机（集团）有限公司,国有企业,制造业,办事人员和有关人员,陕西省西安市雁塔区
916500006702236769,中国电信股份有限公司新疆分公司,国有企业,信息传输、软件和信息技术服务业,工程技术人员,新疆乌鲁木齐市新市区
91320000566894023W,江苏原力数字科技股份有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他专业技术人员,江苏省南京市建邺区
91330200717882426P,宁波舟山港股份有限公司,国有企业,交通运输、仓储和邮政业,工程技术人员,浙江省宁波市市辖区
91610000220566671X,陕西法士特汽车传动集团有限责任公司,国有企业,制造业,工程技术人员,陕西省西安市长安区
121000004352307294,西安电子科技大学,高等教育单位,教育,教学人员,陕西省西安市长安区
91440300MA5GY8J17Q,深圳市新凯来技术有限公司,国有企业,制造业,工程技术人员,广东省深圳市龙岗区
91440300MA5DJ6HW8Y,亚太卫星宽带通信(深圳)有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,广东省深圳市宝安区
9137000086304878X1,中国工商银行股份有限公司山东省分行,国有企业,金融业,工程技术人员,山东省济南市市中区
91110000781703453H,中信建投证券股份有限公司,国有企业,金融业,金融业务人员,北京市东城区
91110108MA01F2L25J,北京字跳网络技术有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,北京市海淀区
914403007542823822,深圳市国电科技通信有限公司,国有企业,电力、热力、燃气及水生产和供应业,工程技术人员,广东省深圳市龙华区
91110101MA04CBKC17,天翼云科技有限公司,国有企业,信息传输、软件和信息技术服务业,工程技术人员,北京市海淀区
12100000426092408R,中国船舶重工集团公司第七二四研究所,科研设计单位,科学研究和技术服务业,科学研究人员,江苏省南京市江宁区
91340100MA2RHB518N,新华三技术有限公司合肥分公司,外商投资企业,信息传输、软件和信息技术服务业,工程技术人员,安徽省合肥市市辖区
91650000625555217H,特变电工新疆新能源股份有限公司,其他企业（含民营企业等）,电力、热力、燃气及水生产和供应业,其他专业技术人员,新疆乌鲁木齐市新市区
52610000H16257584Q,西安外事学院,高等教育单位,教育,教学人员,陕西省西安市雁塔区
91440300MA5FMB3E32,深圳宝新创科技股份有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,经济业务人员,440305
52410100MJY4503951,郑州航空港经济综合实验区艺书高级中学,中初教育单位,教育,教学人员,河南省新郑市
12440606456087220L,佛山市顺德区梁开初级中学,中初教育单位,教育,教学人员,广东省佛山市顺德区
91310109585293872N,上海安路信息科技股份有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他专业技术人员,上海市浦东新区
91350900MA8U5WNY8T,宁德时代润智软件科技有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,福建省宁德市蕉城区
91350200MA355U6N22,厦门大腿网络科技有限公司,其他企业（含民营企业等）,文化、体育和娱乐业,商业和服务业人员,福建省厦门市集美区
914401016876620691,广州思信电子科技有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,科学研究人员,广东省广州市黄埔区
136160586,税务局,机关,公共管理、社会保障和社会组织,公务员,新疆尼勒克县
121000004000147271,北京遥感设备研究所,其他事业单位,科学研究和技术服务业,科学研究人员,北京市海淀区
91440300727163513T,深圳振华富电子有限公司,国有企业,制造业,工程技术人员,440306
91330106673959654P,阿里云计算有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,浙江省杭州市西湖区
91420600757006447N,航宇救生装备有限公司,国有企业,制造业,工程技术人员,420606
91440300279351261M,中国长城科技集团股份有限公司,国有企业,信息传输、软件和信息技术服务业,其他专业技术人员,广东省深圳市南山区
91120111MA07A640X4,天津经纬恒润科技有限公司,其他企业（含民营企业等）,制造业,工程技术人员,天津市西青区
91610131MAB0WKQ369,西安比亚迪半导体有限公司,其他企业（含民营企业等）,制造业,工程技术人员,陕西省西安市市辖区
91310115341975375J,恒玄科技（上海）股份有限公司,外商投资企业,信息传输、软件和信息技术服务业,工程技术人员,上海市浦东新区
9137010078741197XJ,山东众阳健康科技集团有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,山东省济南市历下区
914403007741092105,辉芒微电子（深圳）股份有限公司,外商投资企业,制造业,工程技术人员,广东省深圳市南山区
12100000436976231J,中国兵器工业试验测试研究院,其他事业单位,科学研究和技术服务业,科学研究人员,陕西省华阴市
12100000435230382X,中国航空工业集团公司西安飞机设计研究所,科研设计单位,科学研究和技术服务业,工程技术人员,陕西省西安市阎良区
12110000MB1N5794X2,北京怀柔实验室,科研设计单位,科学研究和技术服务业,科学研究人员,北京市怀柔区
91610131MA7CQELM42,西安印象酷动科技有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他人员,陕西省西安市市辖区
91440300726171773F,深信服科技股份有限公司,外商投资企业,信息传输、软件和信息技术服务业,其他专业技术人员,广东省深圳市南山区
125000004504018996,重庆邮电大学,高等教育单位,教育,教学人员,重庆市南岸区
12100000E80235062U,中国电子科技集团公司第十四研究所,科研设计单位,科学研究和技术服务业,科学研究人员,江苏省南京市雨花台区
91220000605120697F,一汽一大众汽车有限公司,外商投资企业,制造业,工程技术人员,吉林省长春市市辖区
91440400560866566C,珠海市杰理科技股份有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,广东省珠海市香洲区
91610131MA710YF09W,西安紫光展锐科技有限公司,外商投资企业,信息传输、软件和信息技术服务业,工程技术人员,610113
9161040067514722XH,国网陕西省电力公司咸阳供电公司,国有企业,电力、热力、燃气及水生产和供应业,工程技术人员,陕西省咸阳市秦都区
91510105780128207K,成都人才有限责任公司,国有企业,租赁和商务服务业,科学研究人员,四川省成都市双流区
913100001322406202,中国铁路上海局集团有限公司,国有企业,交通运输、仓储和邮政业,其他专业技术人员,上海市静安区
12100000401706565J,中国电子科技集团公司第十三研究所,科研设计单位,科学研究和技术服务业,科学研究人员,河北省石家庄市新华区
91310105090037252C,上海寻梦信息技术有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他人员,上海市长宁区
12100000435232046K,中国船舶重工集团公司第七〇五研究所,其他事业单位,科学研究和技术服务业,科学研究人员,陕西省西安市雁塔区
91610131MAB0PH9FXJ,西安维沃软件技术有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,陕西省西安市市辖区
913210007908906337,扬州扬杰电子科技股份有限公司,其他企业（含民营企业等）,制造业,工程技术人员,江苏省扬州市邗江区
91330106MA2CDTW48T,杭州熠芯科技有限公司,其他企业（含民营企业等）,科学研究和技术服务业,工程技术人员,浙江省杭州市西湖区
12100000435230972Y,中国电子科技集团公司第三十九研究所,科研设计单位,科学研究和技术服务业,工程技术人员,陕西省西安市雁塔区
9143010068031562X6,湖南国科微电子股份有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,湖南省长沙县
12610000437205105J,西安邮电大学,高等教育单位,教育,教学人员,陕西省西安市长安区
91320200MA1MHTCR80,无锡宏创盛安科技有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他专业技术人员,江苏省无锡市滨湖区
9144060070779772XN,广东盛路通信科技股份有限公司,其他企业（含民营企业等）,制造业,工程技术人员,广东省佛山市三水区
911101088020333577,北京宏动科技股份有限公司,其他企业（含民营企业等）,制造业,科学研究人员,北京市石景山区
91320102057954649L,江苏赛博空间科学技术有限公司,其他企业（含民营企业等）,科学研究和技术服务业,工程技术人员,江苏省南京市江宁区
91610131MAB0PDP325,深圳市汇川技术股份有限公司西安分公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,陕西省西安市雁塔区
9111000071093465XC,中国邮政储蓄银行股份有限公司,国有企业,金融业,工程技术人员,北京市西城区
91310114MA1GTW0E38,上海携旅信息技术有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,上海市长宁区
91330402846465223H,中国电子科技集团公司第三十六研究所,国有企业,科学研究和技术服务业,科学研究人员,浙江省嘉兴市南湖区
914100007457748527,中航光电科技股份有限公司,国有企业,制造业,科学研究人员,河南省洛阳市洛龙区
91110302700238431D,航天长征火箭技术有限公司,国有企业,信息传输、软件和信息技术服务业,工程技术人员,北京市丰台区
91310115789597712L,上海中兴软件有限责任公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,科学研究人员,上海市浦东新区
91440101724308182L,广州海格通信集团股份有限公司,国有企业,信息传输、软件和信息技术服务业,科学研究人员,广东省广州市黄埔区
91110000101690725E,中信银行股份有限公司,国有企业,金融业,工程技术人员,北京市东城区
91410000X14400195F,中国邮政储蓄银行股份有限公司河南省分行,国有企业,金融业,金融业务人员,河南省郑州市金水区
91120103103184519P,天津市外资企业人才咨询服务有限公司,其他企业（含民营企业等）,租赁和商务服务业,工程技术人员,天津市河西区
526101137428136170,西安市雁塔区新东方培训中心,其他企业（含民营企业等）,教育,教学人员,陕西省西安市雁塔区
916100002205213857,陕西飞机工业有限责任公司,国有企业,制造业,工程技术人员,陕西省城固县
12100000405800380R,北方自动控制技术研究所,科研设计单位,科学研究和技术服务业,科学研究人员,山西省太原市小店区
91610000758842068C,陕西黄河集团有限公司,国有企业,制造业,工程技术人员,陕西省西安市新城区
11320106MB1724430P,国家税务总局南京市鼓楼区税务局,机关,公共管理、社会保障和社会组织,公务员,江苏省南京市鼓楼区
91133100MA0GHECRXX,中电信数字城市科技有限公司,国有企业,信息传输、软件和信息技术服务业,其他专业技术人员,河北省容城县
91330100566075466D,广州汽车集团乘用车（杭州）有限公司,其他企业（含民营企业等）,制造业,其他专业技术人员,浙江省杭州市萧山区
91320115716203030H,南京国电南自电网自动化有限公司,国有企业,制造业,科学研究人员,江苏省南京市江宁区
91610132333661800X,隆基乐叶光伏科技有限公司,其他企业（含民营企业等）,制造业,其他专业技术人员,陕西省西安市未央区
12100000717812073P,西安航天精密机电研究所,科研设计单位,科学研究和技术服务业,科学研究人员,陕西省西安市长安区
91330108MA2KKB0K1N,杭州朗歌科技有限公司,其他企业（含民营企业等）,科学研究和技术服务业,工程技术人员,浙江省杭州市滨江区
91110105MA019EX05G,北京罗克维尔斯科技有限公司,外商投资企业,科学研究和技术服务业,其他专业技术人员,北京市顺义区
91440600726521040E,中国联合网络通信有限公司佛山市分公司,国有企业,信息传输、软件和信息技术服务业,其他人员,广东省佛山市禅城区
91440300715297653W,普联技术有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他人员,广东省深圳市南山区
12100000717837449H,中国航空工业集团公司雷华电子技术研究所,科研设计单位,科学研究和技术服务业,工程技术人员,江苏省无锡市滨湖区
91110108MA01E3926N,北京京东振世信息技术有限公司,外商投资企业,信息传输、软件和信息技术服务业,其他人员,北京市大兴区
1115060358177015XX,鄂尔多斯市康巴什区教育体育局,中初教育单位,教育,教学人员,内蒙古鄂尔多斯市康巴什区
11610104013398249E,西安市莲湖区教育局,机关,教育,教学人员,陕西省西安市莲湖区
12610100MB2986643U,西安高新区第四完全中学,中初教育单位,教育,教学人员,陕西省西安市雁塔区
52610000735361616Q,陕西国际商贸学院,高等教育单位,教育,教学人员,陕西省咸阳市市辖区
91420100177683003D,凌云科技集团有限责任公司,国有企业,制造业,工程技术人员,湖北省当阳市
91310000MA1FRBBH9Q,上海商汤智能科技有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,上海市徐汇区
121000004507514503,西南电子技术研究所,科研设计单位,科学研究和技术服务业,科学研究人员,四川省成都市金牛区
91110113MA01BQF39T,民生科技有限责任公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,其他专业技术人员,北京市顺义区
121000007476846908,中国特种飞行器研究所,科研设计单位,科学研究和技术服务业,科学研究人员,湖北省荆门市东宝区
91510100720342949A,成都华微电子科技股份有限公司,国有企业,制造业,工程技术人员,四川省成都市市辖区
91320583552457543X,苏州华太电子技术有限公司,其他企业（含民营企业等）,科学研究和技术服务业,其他专业技术人员,江苏省苏州市吴中区
12100000400009530D,北京华航无线电测量研究所,科研设计单位,科学研究和技术服务业,科学研究人员,北京市东城区
91610131MABN0RF905,广州星孛科技有限公司西安分公司,其他企业（含民营企业等）,教育,办事人员和有关人员,陕西省西安市雁塔区
12340100750996281B,合肥学院,高等教育单位,教育,教学人员,安徽省合肥市蜀山区
91100000100003962T,中国工商银行股份有限公司软件开发中心,国有企业,金融业,工程技术人员,陕西省西安市雁塔区
91330100060994115M,杰华特微电子股份有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,浙江省杭州市西湖区
91330100673960735E,矽力杰半导体技术（杭州）有限公司,外商投资企业,科学研究和技术服务业,其他专业技术人员,浙江省杭州市滨江区
12340200MB1431478J,西安电子科技大学芜湖研究院,其他事业单位,科学研究和技术服务业,其他专业技术人员,安徽省芜湖市弋江区
91110108596084056A,北京小米移动软件有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,北京市海淀区
91610103MA7B27YX68,杭州瑞盟科技股份有限公司西安分公司,其他企业（含民营企业等）,科学研究和技术服务业,其他专业技术人员,陕西省西安市碑林区
91110108MA002R5L5Y,北京地平线信息技术有限公司,其他企业（含民营企业等）,科学研究和技术服务业,工程技术人员,北京市海淀区
913201007482112112,中国电信股份有限公司南京分公司,国有企业,信息传输、软件和信息技术服务业,工程技术人员,江苏省南京市玄武区
1153032601516573XR,会泽县工业信息化和商务科技局,机关,公共管理、社会保障和社会组织,公务员,云南省会泽县
91440300192267315G,深圳市振华微电子有限公司,国有企业,制造业,工程技术人员,广东省深圳市南山区
91310115729446808Y,基恩士（中国）有限公司,外商投资企业,制造业,经济业务人员,上海市浦东新区
914403000751938209,深圳易科声光科技股份有限公司,其他企业（含民营企业等）,文化、体育和娱乐业,工程技术人员,广东省深圳市南山区
91440300MA5HD4UH32,润鹏半导体（深圳）有限公司,国有企业,制造业,工程技术人员,广东省深圳市宝安区
91310115MA1K473231,芯来智融半导体科技（上海）有限公司,其他企业（含民营企业等）,科学研究和技术服务业,工程技术人员,陕西省西安市市辖区
12100000435232169L,西安交通大学第一附属医院,医疗卫生单位,卫生和社会工作,卫生专业技术人员,陕西省西安市雁塔区
916101316715105890,陕西千山航空电子有限责任公司,国有企业,制造业,工程技术人员,陕西省西安市雁塔区
91330000253933976Q,杭州士兰微电子股份有限公司,外商投资企业,信息传输、软件和信息技术服务业,工程技术人员,浙江省杭州市西湖区
12100000435204408K,中国航空工业集团公司西安飞行自动控制研究所,科研设计单位,科学研究和技术服务业,工程技术人员,610113
91370200727805440H,海信集团控股股份有限公司,国有企业,制造业,工程技术人员,山东省青岛市崂山区
91440300715298744U,深圳宝龙达信息技术股份有限公司,其他企业（含民营企业等）,信息传输、软件和信息技术服务业,工程技术人员,广东省深圳市光明区
