SID,DWZZJGDM,satisfied
20111223128,91330106MA2CDTW48T,1
20121213225,91440300192317458F,1
20131213276,12100000435230972Y,1
20131213312,9143010068031562X6,1
20131223345,916101316838525277,1
20141213380,916101316838525277,1
19011110007,121000004352307294,1
19011110022,12610000437205105J,1
19020100065,91320200MA1MHTCR80,1
19020100265,9144060070779772XN,1
19020100331,911101088020333577,1
20021221297,91320102057954649L,1
20021221305,91610131MAB0PDP325,1
20031211318,9111000071093465XC,1
20031211330,91610131668683606U,1
20031211444,916100009205248781,1
20031211617,91310114MA1GTW0E38,1
20041211741,91440300192317458F,1
20041211756,9144030027939873X7,1
20041211826,12100000H0420141X7,1
20021211082,91330402846465223H,1
20021211131,914100007457748527,1
20021211195,12100000401749530L,1
20021211227,91110302700238431D,1
20021211260,91310115789597712L,1
20021221308,91440101724308182L,1
20031211336,91610131668683606U,1
20031211368,91440300192317458F,1
20151213450,91110000101690725E,1
20151213461,91440300192317458F,1
20151213535,91410000X14400195F,1
20151213548,91120103103184519P,1
20151213602,91610131668683606U,1
20151213612,91610131668683606U,1
20161213642,526101137428136170,1
19020100406,916100002205213857,1
20041211872,914403001922038216,1
20041211896,12100000405800380R,1
20041211916,91440300192317458F,1
20041211927,91610000758842068C,1
21020140017,11320106MB1724430P,1
21020140020,91133100MA0GHECRXX,1
21020140024,91330100566075466D,1
21020140025,91320115716203030H,1
20051212241,916101316838525277,1
19010100033,9161000078365435XM,1
19010100179,91610132333661800X,1
20171213670,12100000717812073P,1
20171213710,91610131668683606U,1
20171213765,91440300192317458F,1
20171213789,91330108MA2KKB0K1N,1
20181213845,91440300192317458F,1
20181213874,913700001630477270,1
20181213900,914400006713807961,1
20181213931,91110105MA019EX05G,1
20181214002,91440300192317458F,1
19030100275,91440600726521040E,1
19030500272,91440300192317458F,1
19050100173,91440300715297653W,1
20051212251,12100000717837449H,1
20061212511,91110108MA01E3926N,1
20071212580,91440300192317458F,1
20091212652,1115060358177015XX,1
20091212657,11610104013398249E,1
20091212661,12610100MB2986643U,1
20091212673,52610000735361616Q,1
20091212681,91440300192317458F,1
19010100440,91420100177683003D,1
19011110020,121000004352307294,1
20181214052,91310000MA1FRBBH9Q,1
20181214094,121000004507514503,1
20181214100,91110113MA01BQF39T,1
20181214135,121000007476846908,1
20181214172,91510100720342949A,1
20181214195,91320583552457543X,1
20181214278,91610131668683606U,1
20181214322,12100000400009530D,1
19090200020,91610131MABN0RF905,1
19111110563,12340100750996281B,1
19140100012,914401016876620691,1
21031211396,91100000100003962T,1
20111212730,91330100060994115M,1
20111212931,91330100673960735E,1
20111212974,12340200MB1431478J,1
20111213008,9132010068670030XU,1
20111213018,91110108596084056A,1
20111213049,91610103MA7B27YX68,1
20111213113,91110108MA002R5L5Y,1
19020100074,913201007482112112,1
19020100117,1153032601516573XR,1
19020100281,91440300192267315G,1
20181214348,91440300192317458F,1
20181214409,91310115729446808Y,1
20181214424,91440300192317458F,1
19080100019,914403000751938209,1
19140100180,91440300MA5HD4UH32,1
19140200100,91610131MAB0WKQ369,1
19140200201,91440300MA5HD4UH32,1
20111223150,91310115MA1K473231,1
20111223154,12100000435232169L,1
20111223157,916101316715105890,1
20131213252,91330000253933976Q,1
20131213259,91440300192317458F,1
20131213274,9150000020286320X6,1
20131213277,12100000435204408K,1
20131213284,91370200727805440H,1
19020100449,91440300715298744U,1
19020190007,91110114102699924C,1
19020700015,9144030027939873X7,1
19180100061,91440101190498531W,1
20011210027,12100000425035209J,1
20011210084,91310115341975375J,1
20011210107,91110000600001760P,1
20011210180,914403001922038216,1
20011210260,91110108717743469K,1
20011210301,91440300192317458F,1
19170100089,91120113MA06DFCJ6F,1
19180100058,91110114MA01DKC77H,1
20131213302,91610131668683606U,1
20131213308,911101083978285266,1
20131213320,12440300MB2C92173E,1
20131213339,91440300192317458F,1
20141213357,916101316889843778,1
20151213421,91110105690013756F,1
20151213446,91310115MA1K470G91,1
19029100009,9144030027939873X7,1
19029100026,91310000607306313R,1
19030100019,91330000704692308R,1
19030100142,91610131668683606U,1
19030100179,91610138MA6TYTH4X5,1
20011210413,12100000418806554E,1
20011210415,91110108562144110X,1
20011210452,91330110596643970P,1
20011210498,913101156745626329,1
20011210559,91330108MA2CEKCY7R,1
20021210598,9142000073269495XW,1
20021210951,91610131MA6U0KAF64,1
19180100071,91120118MA06ANNU1M,1
19180100118,916101315874094612,1
19180200045,91610131MABYKT217P,1
19180300055,914201007483125655,1
20151213462,12100000401749530L,1
20151213472,916100009205248781,1
20151213493,911101083978285266,1
20151213540,914403001922038216,1
20151213562,9111000071093465XC,1
20151213617,911200008030612102,1
20161213648,12410000567250115A,1
20171213666,91110108717743469K,1
20171213742,914419007480321175,1
20021210597,914100007457748527,1
19030100336,91610131311105299K,1
19030400021,91310115671143758E,1
19030500005,91450322708769464A,1
19030500036,91330110088853074F,1
20021210952,91360000158261067E,1
20021211039,121000004000147271,1
20021211088,91340000848942433L,1
20021211089,913201007871413751,1
20021211102,913300002539329145,1
20021211171,915101006630031225,1
20021211259,91110108562144110X,1
20031211373,91440300MA5EPN2R1X,1
20031211522,400852798,1
20031211572,91610131668683606U,1
20011110214,121000004352307294,1
20011210023,91610113220601836L,1
20011210032,121000004507514503,1
20011210086,121000004287404487,1
20011210088,91330110MA7K8EEQ1N,1
20011210104,91110108397914168P,1
20011210111,91420100682346278A,1
20171213781,913100007732781007,1
20171213807,91370000163092376X,1
20181213866,91150105566946145H,1
19069100213,91410100749214393L,1
19069100039,91310106MA1FYMXF0U,1
19069100118,9144030027939160XU,1
19030500152,91320100704047384L,1
19030500214,91370212733515001F,1
19030700019,124301004488086300,1
19039100003,913301080845641797,1
20041211897,91610131MAB0WKQ369,1
20041211936,91610131MAB0WKQ369,1
20041212027,12100000717812073P,1
20041212046,91420100177688517B,1
20051212156,133306003,1
20051212222,91340100MA8Q49QH6C,1
20051212256,12100000437201489M,1
20061212368,116101000133532354,1
20091212671,9111010175823883XX,1
20111212701,91310115MA1HB6GF58,1
17130188013,91321012661789141D,1
20011210120,12100000418806554E,1
20011210154,91440300192317458F,1
20011210165,91110108562144110X,1
20011210189,91440300192317458F,1
20011210217,91610131MAB0M25M4Q,1
19070100018,91440300715297653W,1
19079100008,91330300MA299D8M4D,1
19090100031,91610131294204008Y,1
19040100062,9112000010331386X3,1
19040100082,91440300192317458F,1
19040300095,916100002205213857,1
19040400068,91440300665866124G,1
20111212804,12100000401706565J,1
20131213267,916101316838525277,1
20131213299,911101086723550827,1
20131213325,91440300192317458F,1
20141213359,91610131668683606U,1
20141213363,911201163004788158,1
20151213420,91110102MA0179UA3A,1
20011210258,91330106MA27Y4U47R,1
20011210263,9132010068670030XU,1
20011210274,91100000100003962T,1
20011210323,91610131MA6UUJ2R4L,1
21010540005,914403001922038216,1
20011210365,91440300192317458F,1
20011210392,91110108751321075C,1
20011210438,914419007480321175,1
19140100031,914401016876620691,1
19140100044,91330100577337302L,1
19140100102,91610131MA6TT8J056,1
19140200064,91350200MA31UQM75B,1
19040500021,91620500224940237U,1
19040500131,91440300MA5DK1296K,1
19050100055,91610131311199504E,1
19050100140,91441900735039205H,1
19040300007,91440300192317458F,1
19140200211,916205007127425044,1
19200300065,91310115MABWJMB0XK,1
20011210135,91310118MA1JMHRUXW,1
19020100271,91510100MA69U3WJ7U,1
19031110521,121000004352307294,1
19050100226,9112000010331386X3,1
19200100094,913405006836158204,1
20181214316,916101385844963446,1
19170100011,91522702MA6JB1B75F,1
19090200011,9111011467455638XA,1
19170100056,91610132333661800X,1
19180100130,9131023066072862XE,1
19180300003,914403006729726462,1
19200100144,915300005600528965,1
20021110258,121000004352307294,1
21051212200,12100000401749530L,1
19040500027,91140100110070798D,1
20021210761,121000004372008304,1
19040300028,91350123098328345M,1
20061212378,9111010279160212X8,1
20041211861,91330382775703676W,1
19030100372,91510100743641052R,1
19030500063,91140781790219276E,1
20031211476,91110000MA04FDC63H,1
20041211937,91500000736550021Q,1
20121110289,12610000437205105J,1
18050100042,91320211MA205DU98P,1
20151223626,913301086623011957,1
19071110552,12410000415806196P,1
20011210307,91610131668683606U,1
19030100025,91610102920607171E,1
19200300096,91610000671504701D,1
19050500155,913101151345129170,1
20151213594,91110000101690725E,1
19020100210,91610000758842068C,1
19030100425,91350200705487306K,1
19030500126,91520000730980020A,1
19040400005,913201050579727320,1
19050100085,91610131673262558K,1
19069100025,91450103715169483E,1
19160100032,91610000755233953C,1
19020100025,115303000151499329,1
19049100010,91320585MA1PAQAT8R,1
19170100021,91450300MA5KR6C043,1
20011210248,91610131668683606U,1
20151213471,91610131MA6TXK3LXN,1
19030100342,526101137428136170,1
19030100005,91440300MA5GDW0L0D,1
19030100080,914403001922038216,1
20121213220,91610131092777254Q,1
19010100005,91520114722174483R,1
19030100134,91440101716347552A,1
19020100138,914403007271508191,1
19030100180,91441300733110602M,1
19030100280,914401017163404737,1
19030100303,91610138570202288E,1
19030100350,91610131688959083Q,1
19040100048,914206007068842583,1
19040300025,914403007271508191,1
19050100201,91440300674822959G,1
19050300011,914100007457748527,1
20021211196,91610131MAB0TT848Q,1
20021211241,91610131MAB0TT848Q,1
20061212273,916100009205248781,1
18050100147,91610132333661800X,1
19040100003,9161000078365435XM,1
19080100016,91440101618445482W,1
19080300013,9163000022658124XK,1
19010100351,914200007146661114,1
19030100181,91110000102043722T,1
19030500180,12620823MB1Q69740H,1
19090100022,913300006716157000,1
20091212654,526100007979116447,1
19010100173,9131000010000595XD,1
19020100432,91610131MAB0QCY75T,1
19030100217,91610000758842068C,1
19030400031,52610000752121518N,1
19050100090,914403001922038216,1
19050100175,914403001922038216,1
19140100122,91510108MA61XJ49X9,1
20061212346,52410000692160338L,1
18200100161,91420100177701232Y,1
19041110072,12370000427600064Q,1
19111110102,121000004558608245,1
20011210481,91610131311105299K,1
19030100205,91110108MA019GCE1U,1
19140100144,914413006178821117,1
19140200039,91330108751731859U,1
19200300160,914302007790310965,1
20031211600,914302007790310965,1
20051212177,913205947333386580,1
20181214352,91420000714672941F,1
19010500091,914403001922038216,1
19021110031,12430000444885612E,1
19170100002,91110302MA00475L1K,1
20031211594,914200001775893915,1
20061212530,91510100201906028Q,1
19040100053,91320507MA1X92CL13,1
19050100063,914404000956241144,1
19010100085,01016224-9,1
19030500105,11100000MB02118284,1
19080200026,1161000001600089X0,1
19080300026,1161000001600089X0,1
19180100119,916101315874094612,1
19200100026,91650100761141545G,1
20131213256,121000007721908440,1
21030740006,914403007703110594,1
19040400037,9142010079979498XF,1
19020700022,91440300056165699A,1
20181214034,914403001922038216,1
20181214251,913702113341616485,1
20131213263,12100000717808875Y,1
19050600014,91340000719986552R,1
19080200024,91610132333661800X,1
19180100079,91440300MA5DK1296K,1
19200100002,91440800MA4ULXP48M,1
20011210531,91110000MA02M6TN8P,1
19090300011,91610132333661800X,1
20111110341,91440300192317458F,1
20041211981,91110108MA01RKBXXX,1
19020300089,9161000078365435XM,1
19090200021,91610131757835050C,1
20051212230,91460000MAA95G3B3F,1
19180300044,91441900751092436A,1
20181213949,12440000MB2D23849R,1
18021110257,12330109MB1H00366H,1
19030100187,91450000708731386G,1
19040300040,915201147143777667,1
19200300004,91450000708731386G,1
20111223138,91520114MA6EGJE17C,1
18130500090,91130101556058312B,1
19050500040,91610113MA6U3DRL0M,1
21051212214,913703008641906579,1
19149100009,92330304MA2BY8B40T,1
21200340009,914403001922038216,1
18111210118,91610131MAB0WKQ369,1
18200100094,9133010079969310XD,1
19040100079,91440300662687585F,1
20151213582,916101310515730361,1
21010540011,91530000709829203J,1
18071110348,126100004352305265,1
19069100077,91610000052102615A,1
19070300012,914403001922038216,1
19180200015,91610131MA6U92763B,1
19020100402,91110113MA01BQF39T,1
19030500259,91610131MA6U92763B,1
19140200005,91310120757937356Y,1
20061212517,91110114MA00BBGN7U,1
19030100272,9133010079969310XD,1
19030100364,91440300192317458F,1
19090300020,9137061209246002XK,1
20161213638,91120000103069270J,1
19200100025,91340207MA2MQTN08Q,1
18050100223,91440400759227905Y,1
19010100018,91440300674822959G,1
19019100011,91440300715297653W,1
19020300027,91520000214403016J,1
19030500330,91420900706937639U,1
19031110053,121000004352307294,1
19040500023,91620500224940237U,1
19050300041,91620500224940237U,1
19010100219,91510700MA624MWF8Q,1
19170100077,91110302MA00475L1K,1
19140100137,12340200MB1431478J,1
19180100081,911101067533312850,1
20061212349,91610132MA6TYAYK70,1
20081212639,12100000420005473C,1
19030500198,440983600316190,1
19140100062,91530300217221381D,1
19180100013,12500000358708804x,1
19180300041,91610800081748044B,1
20151213511,91610102MA7D082R7N,1
21030540020,91220101571145270J,1
19010100321,91220101571145270J,1
19019100013,9132100332400629XG,1
19020300003,914403007271508191,1
19020300023,91350200751606687H,1
19030600028,91421300780912560J,1
19140100007,913702007335360649,1
20031211418,91110112MA01TU3T4A,1
20031211537,12370214MB28592069,1
20011210105,91110000MA04D1055C,1
20011210290,914403006729726462,1
20021110247,121000004352307294,1
20021210697,91520402MA6DXNWKXL,1
20021210978,91320100834880892E,1
20121213175,12420300420139674D,1
20121213199,A1100000MK0040494A,1
19010500045,91110116670576906G,1
19030100117,9151000066028378XC,1
19030500111,91350200737896235B,1
20151213590,91610131668683606U,1
19180100151,91650100789869140B,1
19010100185,91520000914401695T,1
20031211669,91440300455769852F,1
20181214070,91110107599635562F,1
20121213233,91610131722852037L,1
19010500054,91520000755386669B,1
19019100007,91330000717612514G,1
20151213531,91330000761336668H,1
20181213860,91440101724308182L,1
20181214429,12440000MB2D23849R,1
19050100202,91440300674822959G,1
19140100210,91610131MA6TT8J056,1
20161213652,12610000752122457D,1
19140100014,91310000324560557D,1
19200300157,9135020530328061XK,1
19050500039,913201157031141514,1
19090100013,91110116MA01GND94R,1
19180100126,91330000761336668H,1
20041211848,91610138MA6TYDE397,1
20041211867,12100000E80235062U,1
20041211925,91230109571943504N,1
19010100413,916100002205213857,1
19010500016,9161000078365435XM,1
19010100008,91320192134899023E,1
19010100117,914403007271508191,1
19020300079,91610000052117366D,1
19040100110,91210200242386663D,1
19069100177,9144030027939160XU,1
19069100245,91370200671775202M,1
19200300045,914600006710520394,1
20011210158,91100000100003962T,1
20061212316,91610131791679071B,1
19030100346,91440300192317458F,1
19030500139,91330000727215176K,1
19140200014,91330108MA2GY7BBX4,1
20121213158,91610000790789076W,1
21030540004,91310000MA7HRW6X8T,1
20021211072,91610131668683606U,1
20021211262,91350000753132120Q,1
20031211619,91110302MA01BWGJ2K,1
20181214437,9111010880200170X7,1
19180100154,91540000219673613X,1
20071212591,91320500837691819W,1
20181214346,91330000761336668H,1
19010500015,9132100332400629XG,1
19111110436,91610131668683606U,1
20011210187,91610131668683606U,1
20021210583,91610000671504701D,1
19050500072,913301080845641797,1
19080100009,91320100686722613B,1
19030500223,91110105592302589A,1
19030500232,91210200241765653R,1
19090200004,91110105MA001LTR54,1
19030100106,913402007139708758,1
20011210188,91500000MAAC29095E,1
20021210972,121000004000147271,1
20051212162,91340100336697286Q,1
19069100161,91440300192317458F,1
19160200042,916101376786471747,1
20171214443,12330200MB1P683255,1
19030100334,9143020044517525X1,1
19069100166,91420900706936732L,1
19010100429,9132100332400629XG,1
19090300004,91430122748386783F,1
20021210786,91610131668683606U,1
20021210790,91610131668683606U,1
20031211361,9111000071093465XC,1
20041211800,91610131668683606U,1
18031110283,12140000405747348X,1
19049200009,91340104MA2UQNNQ1X,1
19030500349,9111010880200170X7,1
19021110348,121000004352307294,1
19050600021,91440300715281416K,1
19160200014,91440300359638385U,1
20061212501,91440300192317458F,1
20051212108,91610131MAB0GHBP5M,1
18021110180,121000004352307294,1
19030100421,91610131MA6WNP1D3F,1
19040500046,91350000710920936D,1
18030100447,91420100MA4KXDMK15,1
18170100014,91350200MA2XWQAT7G,1
19020100232,91340100694110182B,1
19020100294,91370600746560186C,1
19030400017,91340207MA2MQTN08Q,1
19040600022,91440300561500443T,1
19050100038,91610138311195757G,1
19050500125,91440300192317458F,1
20041211997,916101316838525277,1
20041212010,12100000435230382X,1
20041212045,91610132MA6U1FQFX4,1
20041222019,91440300319776273R,1
19010500111,91150000114115818T,1
19020100097,91640100MA7HR4062N,1
19030100253,91440600726521040E,1
19030100404,91610132MA6W99GJ8X,1
19030100446,91610000671504701D,1
19020300080,12100000450720814K,1
19030500099,9151000066028378XC,1
19020100344,9161000078365435XM,1
19050100093,11350800MB1895440J,1
18050500035,91320192134899023E,1
19030500193,91440300MA5EH0KF1N,1
19140200041,91440300MA5HD4UH32,1
19140200121,91440300MA5HD4UH32,1
20041211991,91100000100003962T,1
20061212342,91110109MA009FUK1T,1
19021110178,12100000E80235062U,1
20031221723,91611102MAB2T2JH2G,1
20141213384,916100003336294569,1
19010500037,915000007907103997,1
19069100257,916531009300027741,1
20021110044,12610000435630669J,1
20091212659,52610100H16258739T,1
19050500079,911301007387208217,1
19090100025,9137030058454852X4,1
19200100140,91110108560350260C,1
20031211412,116108000160826370,1
19022100042,91510700205412308D,1
19030100182,91610000732678562A,1
18021210035,12100000450720814K,1
19010100071,91440400684430123K,1
19030500237,91310112798987659U,1
19050500100,913702004280000795,1
19069100145,91110113795146184N,1
19160200027,91370602MA3CMYU66J,1
20041222017,91440300319776273R,1
18180300060,91340000719986552R,1
19010100024,91440101MA59HUAA42,1
19021110378,91610113220601836L,1
19030500120,914403006729726462,1
19040100148,914300007121944054,1
19030600015,12100000220940950Q,1
19180200014,91610131MA6TYHPX5G,1
19180300058,913201050579727320,1
20021210653,91610131MAB0WKQ369,1
20021210745,91510100720342949A,1
20021210811,12100000401749530L,1
20021210813,12100000400014620M,1
20021210880,913100000879390282,1
19069100228,91440300192317458F,1
19140100128,91650190MABJJMY04G,1
20021211060,91440300745152789Q,1
20021211083,91330000761336668H,1
20021211106,91440300192317458F,1
20021211121,91610131668683606U,1
20021211137,91610131MAB0M25M4Q,1
20021211142,91440300192317458F,1
20021211174,91110113MA01BQF39T,1
19030500311,91610131668683606U,1
19050500135,914403001922038216,1
20071212540,916100009205248781,1
20071212545,914403001922038216,1
20181213916,91610131668683606U,1
20181214393,12100000400009530D,1
19040300101,91120116710939151W,1
19040100140,91610131668683606U,1
19180100020,9144030031977063XH,1
19022100074,914403001922038216,1
19069100219,914403001922038216,1
20041211905,91610131668683606U,1
20111223134,12340200MB1431478J,1
20131213298,9111010279160212X8,1
20151213440,914400007491828034,1
20021221300,91440300MA5EH2LU6N,1
20031211342,91370212718041506K,1
20031211376,91330106673959654P,1
20031211439,911100001000054748,1
20031211452,91320104MA1YCUAC9N,1
20031211474,91440000730486030B,1
20031211520,91110000781703453H,1
20111212845,915101007497238179,1
18021110204,12610000437205105J,1
19010500052,91440300MA5DMEYY03,1
19011110024,121000004352307294,1
20061212312,916100006641086712,1
20061212322,916100009205248781,1
20081212631,52130000MJY9489008,1
20091212658,754335579,1
20111212737,12100000E80235062U,1
20111212852,91110108679604408D,1
20131213340,91440300192317458F,1
19010500020,91620500756558610D,1
19050300001,91450000708731386G,1
19059100008,91330300MA299D8M4D,1
19170200014,91610000MAB2QCYT7P,1
20031211570,91110116670576906G,1
20031211692,91110108562144110X,1
20041211975,91440300192317458F,1
20041212035,91440300192317458F,1
20051212092,91310115MA1K4AKX3D,1
19150100005,9142010066953862X0,1
20031211338,91310000132257510M,1
20071212581,123307824717706267,1
19069100216,91610131333793942P,1
19010500031,115335275798413347,1
19040500042,914100007457748527,1
19050100200,914100007457748527,1
20011210211,91310000736239890T,1
20021210672,91440300MA5H65RL1L,1
20021211231,91340000MA2RCF4L9Q,1
20031211326,916100009205248781,1
20171213823,91420100682346278A,1
20181213967,1210000049350541XL,1
20151213439,91610000667952640E,1
20161213636,126101004372062987,1
20161213637,52410000752296617Q,1
20171213775,91110000681951142E,1
20171223835,91330106MA2KL14NXR,1
20181213878,12440000756476455A,1
20181214326,91100000100003962T,1
19011110010,91110108MA01BGGF6J,1
19030100273,914403001922038216,1
19030100413,914403001922038216,1
20011210459,91610131668683606U,1
20011210504,91610131668683606U,1
20011210551,91610131668683606U,1
20011220561,91610131668683606U,1
20021211005,91610131668683606U,1
20021211242,91610131668683606U,1
19170100088,916101310515730361,1
19180200047,91150000710923934F,1
18020100247,91430200707250281J,1
19019100024,91310118MA7D9GBD09,1
19020700007,91330108MA27WUKR13,1
19030500060,91320106249663766N,1
19040100162,914100007457748527,1
